epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,799.177,1.96249,0.96966,1.6847,0.92611,0.84118,0.92784,0.43346,2.00344,1.00584,1.86444,0.0014192,0.0014192,0.0014192
90,806.701,1.96688,0.99002,1.71221,0.9129,0.84706,0.93299,0.45052,1.99183,1.00815,1.83931,0.0014126,0.0014126,0.0014126
91,815.871,1.98047,0.99136,1.73187,0.93672,0.87075,0.93964,0.4403,2.04079,1.00721,1.85684,0.001406,0.001406,0.001406
92,825.139,2.00469,0.98446,1.72843,0.96645,0.85882,0.94811,0.41464,2.05629,0.99571,1.8823,0.0013994,0.0013994,0.0013994
93,835.303,2.01579,0.99976,1.73366,0.95365,0.81765,0.93537,0.41186,2.11249,1.0085,1.92589,0.0013928,0.0013928,0.0013928
94,844.952,2.04374,1.00246,1.74503,0.89215,0.84706,0.92832,0.44359,2.0042,0.99952,1.88579,0.0013862,0.0013862,0.0013862
95,853.825,1.99484,1.00422,1.68188,0.95812,0.82941,0.9438,0.43401,1.99311,0.99653,1.90593,0.0013796,0.0013796,0.0013796
96,863.488,1.94537,0.96332,1.67532,0.94242,0.87059,0.94351,0.44058,1.99639,1.0239,1.87202,0.001373,0.001373,0.001373
97,872.951,1.99096,0.99624,1.72722,0.90866,0.87775,0.93825,0.43838,2.04745,1.00172,1.847,0.0013664,0.0013664,0.0013664
98,882.259,2.00537,0.96361,1.70136,0.88635,0.85294,0.93808,0.43861,2.00973,1.03141,1.85498,0.0013598,0.0013598,0.0013598
99,891.191,1.96788,0.99575,1.6966,0.88974,0.83529,0.9306,0.45128,1.96545,1.00122,1.82161,0.0013532,0.0013532,0.0013532
100,900.878,1.90691,0.982,1.70207,0.91416,0.85294,0.93699,0.44369,1.98666,0.98951,1.81912,0.0013466,0.0013466,0.0013466
101,909.562,1.9211,0.94953,1.65654,0.96181,0.84706,0.94737,0.46256,1.91478,0.94906,1.81891,0.00134,0.00134,0.00134
102,919.172,1.91304,0.93123,1.65939,0.96539,0.82043,0.94331,0.45485,1.94207,0.97439,1.83742,0.0013334,0.0013334,0.0013334
103,929.775,1.95938,0.95294,1.65464,0.95234,0.82277,0.92843,0.44834,1.97803,0.98464,1.86743,0.0013268,0.0013268,0.0013268
104,938.904,1.99635,0.94241,1.70621,0.92743,0.82693,0.94088,0.41915,2.04265,0.95035,1.89671,0.0013202,0.0013202,0.0013202
105,948.11,2.01741,0.93605,1.76553,0.92395,0.85294,0.93411,0.41744,2.0712,0.98455,1.92499,0.0013136,0.0013136,0.0013136
106,957.401,2.16054,0.99241,1.86389,0.87924,0.84118,0.9211,0.43561,2.02726,0.9927,1.84926,0.001307,0.001307,0.001307
107,967.323,2.00342,0.98164,1.70008,0.90564,0.83529,0.90655,0.34891,2.25109,0.99059,2.03406,0.0013004,0.0013004,0.0013004
108,977.256,1.9587,0.94456,1.67084,0.91136,0.87059,0.92891,0.44022,1.94702,0.96725,1.83709,0.0012938,0.0012938,0.0012938
109,988.601,1.88148,0.93883,1.6518,0.9302,0.86228,0.93197,0.43741,1.9887,0.93344,1.8451,0.0012872,0.0012872,0.0012872
110,999.403,1.9075,0.93761,1.65206,0.9378,0.86471,0.92869,0.42323,2.02347,0.93451,1.87711,0.0012806,0.0012806,0.0012806
111,1009.22,1.91684,0.94898,1.67388,0.91691,0.84386,0.92562,0.42765,1.99129,0.95063,1.82811,0.001274,0.001274,0.001274
112,1018.52,1.91367,0.93975,1.65833,0.9273,0.82539,0.91614,0.42589,1.95464,0.94352,1.85183,0.0012674,0.0012674,0.0012674
113,1026.77,1.90588,0.91718,1.64268,0.92942,0.85202,0.93826,0.42171,2.01911,0.93157,1.87704,0.0012608,0.0012608,0.0012608
114,1035.74,1.97598,0.94849,1.66857,0.92505,0.87116,0.93574,0.43019,1.9698,0.92738,1.8041,0.0012542,0.0012542,0.0012542
115,1042.85,1.8771,0.92227,1.63521,0.97871,0.9,0.96241,0.46321,1.87169,0.91377,1.75835,0.0012476,0.0012476,0.0012476
116,1051.13,1.82351,0.91578,1.61482,0.95523,0.87852,0.9489,0.45903,1.92511,0.92417,1.76875,0.001241,0.001241,0.001241
117,1059.57,1.84829,0.91831,1.64986,0.93424,0.85882,0.94122,0.43661,1.94059,0.89653,1.82276,0.0012344,0.0012344,0.0012344
118,1068.17,1.8365,0.90241,1.61017,0.9319,0.88541,0.9515,0.45373,1.91188,0.88552,1.79226,0.0012278,0.0012278,0.0012278
119,1078.05,1.79203,0.89852,1.61174,0.93202,0.88709,0.95789,0.45836,1.90575,0.87115,1.786,0.0012212,0.0012212,0.0012212
120,1087.28,1.85258,0.89189,1.62144,0.9233,0.84976,0.92476,0.40453,1.97636,0.94811,1.81043,0.0012146,0.0012146,0.0012146
121,1096.35,1.89499,0.91956,1.66362,0.95193,0.80588,0.92409,0.42649,1.98957,0.94374,1.84772,0.001208,0.001208,0.001208
122,1104.14,1.8857,0.9057,1.6465,0.92204,0.8349,0.91896,0.46118,1.85953,0.90871,1.74657,0.0012014,0.0012014,0.0012014
123,1110.6,1.85581,0.91131,1.62228,0.9522,0.85294,0.95124,0.44515,1.94527,0.89142,1.80756,0.0011948,0.0011948,0.0011948
124,1117.06,1.86194,0.90961,1.68311,0.86496,0.9,0.92244,0.42932,1.92456,0.94397,1.82077,0.0011882,0.0011882,0.0011882
125,1124.21,1.85868,0.9006,1.64136,0.96089,0.86718,0.94901,0.4414,1.93339,0.8742,1.83269,0.0011816,0.0011816,0.0011816
126,1131.72,1.88688,0.92046,1.64545,0.90128,0.88824,0.92832,0.42066,1.96251,0.89947,1.81867,0.001175,0.001175,0.001175
127,1140.31,1.85185,0.88379,1.61751,0.90219,0.86817,0.92149,0.37429,2.06519,0.93413,1.92408,0.0011684,0.0011684,0.0011684
128,1150.79,1.80841,0.881,1.60965,0.96143,0.87969,0.95981,0.46704,1.84775,0.87245,1.74103,0.0011618,0.0011618,0.0011618
129,1160.35,1.82732,0.89034,1.6159,0.95014,0.8967,0.95065,0.46002,1.77442,0.8456,1.70452,0.0011552,0.0011552,0.0011552
130,1170.69,1.83918,0.87252,1.6145,0.97369,0.87096,0.95883,0.45343,1.82207,0.86768,1.73798,0.0011486,0.0011486,0.0011486
131,1180.8,1.84856,0.88159,1.65882,0.95005,0.89503,0.95824,0.43142,1.87819,0.85692,1.79057,0.001142,0.001142,0.001142
132,1191.19,1.78676,0.86702,1.61481,0.94851,0.91176,0.95918,0.46759,1.76371,0.81333,1.69602,0.0011354,0.0011354,0.0011354
133,1201.29,1.75655,0.83148,1.54254,0.93849,0.91176,0.96174,0.43502,1.85779,0.83844,1.72968,0.0011288,0.0011288,0.0011288
134,1211.75,1.78387,0.88499,1.56611,0.93642,0.90588,0.95343,0.48029,1.75912,0.85179,1.69009,0.0011222,0.0011222,0.0011222
135,1222.13,1.77291,0.8632,1.58044,0.93613,0.8621,0.92806,0.42567,1.876,0.80684,1.73327,0.0011156,0.0011156,0.0011156
136,1231.72,1.71349,0.85436,1.56906,0.93336,0.87647,0.94541,0.48407,1.73724,0.7941,1.6998,0.001109,0.001109,0.001109
137,1241.51,1.76378,0.83829,1.59551,0.93968,0.90588,0.9479,0.43538,1.87214,0.79317,1.76129,0.0011024,0.0011024,0.0011024
138,1250.28,1.73925,0.84956,1.5845,0.96536,0.89412,0.95972,0.49081,1.75335,0.79364,1.70357,0.0010958,0.0010958,0.0010958
139,1257.13,1.7529,0.8413,1.57447,0.96745,0.90588,0.96058,0.48304,1.71448,0.77465,1.6867,0.0010892,0.0010892,0.0010892
140,1265.44,1.74379,0.84671,1.57247,0.95723,0.88235,0.96383,0.44736,1.85358,0.80809,1.75945,0.0010826,0.0010826,0.0010826
141,1274.61,1.7207,0.87149,1.59069,0.93142,0.87881,0.96191,0.47044,1.74389,0.78859,1.69574,0.001076,0.001076,0.001076
142,1284.58,1.7371,0.83776,1.55606,0.9439,0.89068,0.95593,0.46573,1.78403,0.81478,1.72308,0.0010694,0.0010694,0.0010694
143,1294.32,1.753,0.85545,1.58097,0.96094,0.86828,0.9621,0.47245,1.7511,0.79815,1.70772,0.0010628,0.0010628,0.0010628
144,1305.24,1.73015,0.8435,1.54518,0.9476,0.89412,0.95344,0.44555,1.84789,0.80025,1.75774,0.0010562,0.0010562,0.0010562
145,1315.02,1.74629,0.85504,1.55738,0.97312,0.85882,0.95573,0.44392,1.87249,0.80723,1.75548,0.0010496,0.0010496,0.0010496
146,1323.61,1.78831,0.86875,1.60962,0.96095,0.86862,0.96314,0.4547,1.77864,0.82247,1.70594,0.001043,0.001043,0.001043
147,1330.5,1.88653,0.88092,1.66401,0.88176,0.87734,0.9234,0.37091,2.0032,0.87311,1.88232,0.0010364,0.0010364,0.0010364
148,1337.66,1.77337,0.83195,1.59819,0.95573,0.88888,0.95782,0.45586,1.78272,0.82376,1.69603,0.0010298,0.0010298,0.0010298
149,1346.22,1.76614,0.871,1.57965,0.91463,0.8823,0.93151,0.40862,1.95218,0.83174,1.86454,0.0010232,0.0010232,0.0010232
150,1356.37,1.72746,0.84422,1.55737,0.96713,0.8655,0.96005,0.48311,1.71357,0.80118,1.68272,0.0010166,0.0010166,0.0010166
151,1367.02,1.70474,0.82355,1.5722,0.94186,0.85882,0.94371,0.44412,1.85468,0.78747,1.76212,0.00101,0.00101,0.00101
152,1377.02,1.75198,0.85067,1.55278,0.95582,0.86471,0.95115,0.47459,1.80027,0.81826,1.7277,0.0010034,0.0010034,0.0010034
153,1383.79,1.73968,0.85569,1.56133,0.92432,0.86211,0.9415,0.44924,1.77402,0.86006,1.70775,0.0009968,0.0009968,0.0009968
154,1390.29,1.72551,0.81381,1.56808,0.92489,0.84706,0.94715,0.47463,1.71944,0.80559,1.67272,0.0009902,0.0009902,0.0009902
155,1400.59,1.80882,0.85481,1.55732,0.90143,0.86077,0.93428,0.46267,1.81699,0.83896,1.7162,0.0009836,0.0009836,0.0009836
156,1410.45,1.71019,0.82609,1.55315,0.95961,0.83849,0.93912,0.43529,1.84526,0.82595,1.76618,0.000977,0.000977,0.000977
157,1419.73,1.78069,0.82862,1.57317,0.93346,0.92353,0.96636,0.45122,1.78768,0.76732,1.74085,0.0009704,0.0009704,0.0009704
158,1429.42,1.77359,0.8339,1.56894,0.91821,0.92457,0.96036,0.48048,1.74049,0.75648,1.70684,0.0009638,0.0009638,0.0009638
